title	type	country	release_date	added_date	rating	duration	genres	director	cast	imdb_score	imdb_votes
Dick Johnson Is Dead	Movie	United States	2020	2021-09-25	PG-13	90 min	Documentaries	Kirsten Johnson	NA	7.4	6390
Blood & Water	TV Show	South Africa	2021	2021-09-24	TV-MA	2 Seasons	International TV Shows, TV Dramas, TV Mysteries	NA	Ama Qamata, Khosi Ngema, Gail Mabalane, Thabang Molaba, Dillon Windvogel, Natasha Thahane, Arno Greeff, Xolile Tshabalala, Getmore Sithole, Cindy Mahlangu, Ryle De Morny, Greteli Fincham, Sello Maake Ka-Ncube, Odwa Gwanya, Mekaila Mathys, Sandi Schultz, Duane Williams, Shamilla Miller, Patrick Mofokeng	NA	NA
Ganglands	TV Show	NA	2021	2021-09-24	TV-MA	1 Season	Crime TV Shows, International TV Shows, TV Action & Adventure	Julien Leclercq	Sami Bouajila, Tracy Gotoas, Samuel Jouy, Nabiha Akkari, Sofia Lesaffre, Salim Kechiouche, Noureddine Farihi, Geert Van Rampelberg, Bakary Diombera	7	2460
Jailbirds New Orleans	TV Show	NA	2021	2021-09-24	TV-MA	1 Season	Docuseries, Reality TV	NA	NA	6.6	205
Kota Factory	TV Show	India	2021	2021-09-24	TV-MA	2 Seasons	International TV Shows, Romantic TV Shows, TV Comedies	NA	Mayur More, Jitendra Kumar, Ranjan Raj, Alam Khan, Ahsaas Channa, Revathi Pillai, Urvi Singh, Arun Kumar	9.3	66985
Midnight Mass	TV Show	NA	2021	2021-09-24	TV-MA	1 Season	TV Dramas, TV Horror, TV Mysteries	Mike Flanagan	Kate Siegel, Zach Gilford, Hamish Linklater, Henry Thomas, Kristin Lehman, Samantha Sloyan, Igby Rigney, Rahul Kohli, Annarah Cymone, Annabeth Gish, Alex Essoe, Rahul Abburi, Matt Biedel, Michael Trucco, Crystal Balint, Louis Oliver	7.7	102321
My Little Pony: A New Generation	Movie	NA	2021	2021-09-24	PG	91 min	Children & Family Movies	Robert Cullen, José Luis Ucha	Vanessa Hudgens, Kimiko Glenn, James Marsden, Sofia Carson, Liza Koshy, Ken Jeong, Elizabeth Perkins, Jane Krakowski, Michael McKean, Phil LaMarr	6.8	3468
Sankofa	Movie	United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia	1993	2021-09-24	TV-MA	125 min	Dramas, Independent Movies, International Movies	Haile Gerima	Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah, Nick Medley, Mutabaruka, Afemo Omilami, Reggie Carter, Mzuri	7	678
The Great British Baking Show	TV Show	United Kingdom	2021	2021-09-24	TV-14	9 Seasons	British TV Shows, Reality TV	Andy Devonshire	Mel Giedroyc, Sue Perkins, Mary Berry, Paul Hollywood	8.6	9564
The Starling	Movie	United States	2021	2021-09-24	PG-13	104 min	Comedies, Dramas	Theodore Melfi	Melissa McCarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant, Daveed Diggs, Skyler Gisondo, Laura Harrier, Rosalind Chao, Kimberly Quinn, Loretta Devine, Ravi Kapoor	6.3	11733
Vendetta: Truth, Lies and The Mafia	TV Show	NA	2021	2021-09-24	TV-MA	1 Season	Crime TV Shows, Docuseries, International TV Shows	NA	NA	6.7	232
