title	country_1	country_2	country_3	country_4	country_5	country_6	country_7	country_8	country_9	country_10
Dick Johnson Is Dead	United States	NA	NA	NA	NA	NA	NA	NA	NA	NA
Blood & Water	South Africa	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ganglands	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Jailbirds New Orleans	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kota Factory	India	NA	NA	NA	NA	NA	NA	NA	NA	NA
Midnight Mass	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
My Little Pony: A New Generation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sankofa	United States	 Ghana	 Burkina Faso	 United Kingdom	 Germany	 Ethiopia	NA	NA	NA	NA
The Great British Baking Show	United Kingdom	NA	NA	NA	NA	NA	NA	NA	NA	NA
The Starling	United States	NA	NA	NA	NA	NA	NA	NA	NA	NA
Vendetta: Truth, Lies and The Mafia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bangkok Breaking	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Je Suis Karl	Germany	 Czech Republic	NA	NA	NA	NA	NA	NA	NA	NA
Confessions of an Invisible Girl	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Crime Stories: India Detectives	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dear White People	United States	NA	NA	NA	NA	NA	NA	NA	NA	NA
Europe's Most Dangerous Man: Otto Skorzeny in Spain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Falsa identidad	Mexico	NA	NA	NA	NA	NA	NA	NA	NA	NA
Intrusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Jaguar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Monsters Inside: The 24 Faces of Billy Milligan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Resurrection: Ertugrul	Turkey	NA	NA	NA	NA	NA	NA	NA	NA	NA
Avvai Shanmughi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Go! Go! Cory Carson: Chrissy Takes the Wheel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Jeans	India	NA	NA	NA	NA	NA	NA	NA	NA	NA
Love on the Spectrum	Australia	NA	NA	NA	NA	NA	NA	NA	NA	NA
Minsara Kanavu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Grown Ups	United States	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dark Skies	United States	NA	NA	NA	NA	NA	NA	NA	NA	NA
Paranoia	United States	 India	 France	NA	NA	NA	NA	NA	NA	NA
Ankahi Kahaniya	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chicago Party Aunt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sex Education	United Kingdom	NA	NA	NA	NA	NA	NA	NA	NA	NA
Squid Game	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tayo and Little Wizards	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
The Father Who Moves Mountains	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
The Stronghold	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Angry Birds	Finland	NA	NA	NA	NA	NA	NA	NA	NA	NA
Birth of the Dragon	China	 Canada	 United States	NA	NA	NA	NA	NA	NA	NA
Chhota Bheem	India	NA	NA	NA	NA	NA	NA	NA	NA	NA
He-Man and the Masters of the Universe	United States	NA	NA	NA	NA	NA	NA	NA	NA	NA
Jaws	United States	NA	NA	NA	NA	NA	NA	NA	NA	NA
Jaws 2	United States	NA	NA	NA	NA	NA	NA	NA	NA	NA
Jaws 3	United States	NA	NA	NA	NA	NA	NA	NA	NA	NA
Jaws: The Revenge	United States	NA	NA	NA	NA	NA	NA	NA	NA	NA
